"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"PanCK","Stanford_OSCC_Tris_10min",0.456978939158702,0.0712751256739318,227996903.5,0.702564596206977,0,0,99.9177051493064,99.7955546236108,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD15","Stanford_OSCC_Tris_10min",0.543494502589454,0.125066824648585,261202091.5,0.804885238027434,0,0,99.9647307782742,99.6644998951562,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"Podoplanin","Stanford_OSCC_Tris_10min",0.601938807769284,0.213894292926516,278550153.5,0.85834269287398,0,0,100,99.6330467603271,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"Desmin","Stanford_OSCC_Tris_10min",0.463528847745105,0.089816603956201,227800450.5,0.701959233061689,0,0,99.988243592758,99.6540155168799,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"Hoechst","Stanford_OSCC_Citra_20min",0.516829575777566,-0.00104601268979232,161618452.5,0.498021688352706,0.515783521000896,0.515783521000896,100,99.7589936515401,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD68","Stanford_OSCC_Citra_20min",0.579982421172894,-0.127364946556763,79527310.5,0.245060664996529,0,0,99.6435311386035,99.994121796379,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"aSMA","Stanford_OSCC_Citra_20min",0.349074845486619,-0.196793812213972,56380986,0.173736064195456,0,0,99.6382889494653,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD45RO","Stanford_OSCC_Citra_20min",0.589209046870007,-0.181279155932653,62853999,0.193682430548574,0,0,99.6382889494653,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD45RA","Stanford_OSCC_Citra_20min",0.510111047050309,-0.257210474150067,25898714,0.0798059941357493,0,0,99.6435311386035,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD14","Stanford_OSCC_Citra_20min",0.463121323588424,-0.19399874641343,60800908.5,0.187355902968743,0,0,99.6435311386035,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD209","Stanford_OSCC_Citra_20min",0.424817208147212,-0.238710033524441,19794450.5,0.060995916651436,0,0,99.659257706018,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD16","Stanford_OSCC_Citra_20min",0.569917789892815,-0.143698187770652,93320409,0.287563622402244,0,0,99.685468651709,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD163","Stanford_OSCC_Citra_20min",0.488114084775835,-0.217699171236779,42496578.5,0.130951741254813,0,0,99.6802264625708,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"pS6","Stanford_OSCC_Citra_20min",0.497867039450953,-0.130860206324916,99442718,0.306429306472552,0,0,99.6435311386035,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"CD11b","Stanford_OSCC_Citra_20min",0.431918093937364,-0.282646512368014,19687933,0.0606676866481874,0,0,99.6907108408471,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"pSTAT5","Stanford_OSCC_Citra_20min",0.493616105485107,-0.371004028766931,796887,0.00245557981175648,0,0,99.6487733277417,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"PDL1","Stanford_OSCC_Citra_20min",0.461057147822914,-0.267035189045331,4485714,0.0138225730118742,0,0,99.685468651709,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
"PD1","Stanford_OSCC_Citra_20min",0.555289482336564,-0.266726786800209,615926.5,0.0018979562709968,0,0,99.685468651709,100,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_20min"
